Anio,Enero_IMD,Febrero_IMD,Marzo_IMD,Abril_IMD,Mayo_IMD,Junio_IMD,Julio_IMD,Agosto_IMD,Septiembre_IMD,Octubre_IMD,Noviembre_IMD,Diciembre_IMD,Total_IMD,Enero_VPA,Febrero_VPA,Marzo_VPA,Abril_VPA,Mayo_VPA,Junio_VPA,Julio_VPA,Agosto_VPA,Septiembre_VPA,Octubre_VPA,Noviembre_VPA,Diciembre_VPA,Autob�s de pasajeros,Autom�vil,Avi�n,Bicicleta,Embarcaci�n ,Sin transporte,Transporte de carga,Total,GTM_PT,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
2011.00,283.30,304.60,384.10,371.30,415.30,416.40,349.80,409.60,364.80,356.80,343.50,378.50,4378.00,15.10,12.90,9.20,8.80,10.50,9.50,6.50,6.80,6.20,6.10,5.90,6.10,,,,,,,,,14521515.00,18969.00,277521.00,-25975.00,-733.00,270.00,-29092.00,-2363.00,-1760.00,17606.00,-26257.00,-292.00,-450.00,-33204.00,-1852.00,-14512.00,3967135.00,25348.00,-5664.00,-774337.00,-8241.00,-29049.00,889.00,-1140918.00,-3946885.00,-2805967.00,-1032402.00,-54051.00,-1773565.00,7.00,-244114.00,,-26351.00,-150029.00,281089.00,-1427.00,9605.00,195257.00,-12578.00,7057.00,139793.00,-1248.00,-918.00,-8820.00,9340.00,-3520.00,-12133.00,115314.00,1551053.00,-8639.00,1756.00,-6953.00,38226.00,-28224.00,41782.00,47281.00,-347554.00,-207.00,-2405.00,3339540.00,266486.00,75390.00,-890633.00,5167.00,-148270.00,-103875.00,-364.00,40693.00,-12188.00,-212998.00,-38794.00,-2958.00,-24048.00,-20435.00,-26662.00,-23954.00,3349598.00,-2521.00,82815.00,-47867.00,295952.00,-5358.00,-1412371.00,94083.00,-337194.00,-43352.00,72396.00,-1875.00,6895.00,-53440.00,1043.00,-326192.00,28.00,-882791.00,194323.00,-882413.00,23252.00,-1641.00,-1068.00,-1855.00,390.00,65397.00,-10654.00,0.00,378.00,-256835.00,821.00,29255.00,-265974.00,-23055.00,-1980.00,66775.00,-30780.00,-9636.00,-431889.00,-309.00,-931183.00,-2048.00,-1412371.00,-882413.00,-1410.00,11481.00,68855.00,26.00,-84433.00,-173065.00,13301.00,-632280.00,-6982.00,1322433.00,-20380.00,-1665.00,-54377.00,562.00,-1018.00,-4378.00,-934.00,0.00,-3246.00,-3033.00,-21770.00,65295.00,13605.00,-133434.00
2012.00,305.10,350.40,402.10,419.00,451.60,432.70,422.10,441.40,365.80,415.40,368.00,409.20,4782.70,7.70,11.50,8.80,9.90,9.60,8.50,10.20,9.90,8.80,9.60,9.30,9.20,,,,,,,,,14781942.00,19971.00,272601.00,-26510.00,1008.00,298.00,-32842.00,-2342.00,-1442.00,17859.00,-30036.00,-204.00,-457.00,-32572.00,-1850.00,-7152.00,3968087.00,36188.00,-5896.00,-927382.00,-10440.00,-29679.00,16048.00,435416.00,-3929930.00,-4365346.00,-1747481.00,-38499.00,-2617865.00,-244.00,-180991.00,,-22002.00,19635.00,767449.00,-304.00,9909.00,249033.00,-11494.00,-146181.00,137344.00,-2156.00,-914.00,10389.00,14070.00,-3327.00,-13506.00,113421.00,1568434.00,-8596.00,1793.00,18714.00,41741.00,-27388.00,46924.00,47786.00,-371708.00,-32.00,-1539.00,3463880.00,262093.00,108809.00,-1647986.00,5447.00,-118758.00,-156051.00,-339.00,37896.00,-12077.00,55634.00,-45035.00,-2918.00,-37448.00,-17761.00,-26918.00,-24048.00,3360433.00,-2639.00,83444.00,-21485.00,304059.00,-14824.00,-2427962.00,88879.00,-221502.00,-42976.00,67992.00,-1634.00,988.00,-50554.00,195.00,-51833.00,3968.00,-721476.00,125766.00,-721107.00,65142.00,-1736.00,-1014.00,2629.00,219.00,69451.00,-10706.00,2953.00,369.00,-999191.00,1256.00,9516.00,-257131.00,287660.00,-1992.00,74265.00,-27831.00,-9598.00,-431934.00,-769.00,-379456.00,-2529.00,-2427962.00,-721107.00,-880.00,-29555.00,297814.00,8.00,-49713.00,-175994.00,68840.00,828424.00,-6318.00,1323368.00,-20382.00,-1569.00,-55130.00,122.00,-932.00,-4545.00,-879.00,0.00,-3215.00,-15323.00,-20983.00,68846.00,9009.00,-66709.00
2013.00,357.90,351.20,424.10,451.20,477.00,417.20,445.80,456.30,420.70,480.00,376.60,447.30,5105.20,17.30,8.20,7.10,7.30,6.90,5.00,5.10,4.80,5.90,6.90,6.50,6.70,,,,,,,,,15043981.00,19581.00,268067.00,-27185.00,-2388.00,-101.00,-29151.00,-2486.00,-1395.00,18105.00,-31535.00,-190.00,-490.00,-35666.00,-1852.00,-6912.00,3735605.00,24760.00,-6094.00,-625153.00,-11833.00,-30347.00,5296.00,1778455.00,-3705364.00,-5483819.00,-2046249.00,-36670.00,-3437570.00,-276.00,-236387.00,,-12015.00,23351.00,491588.00,1648.00,10650.00,154366.00,-11329.00,776237.00,134721.00,-1527.00,-906.00,22477.00,-2987.00,-3131.00,-12899.00,102150.00,1563061.00,-8580.00,1860.00,-2551.00,10588.00,-26589.00,51268.00,40480.00,-373065.00,-34.00,22547.00,3321193.00,161176.00,181469.00,-1906315.00,5926.00,-95149.00,-199869.00,-50.00,35283.00,-27597.00,13145.00,-52866.00,-2936.00,-36657.00,-17238.00,-26976.00,-23818.00,3165585.00,-1988.00,137597.00,-13890.00,291552.00,-15833.00,-2752864.00,77738.00,-185339.00,-45857.00,67504.00,-1603.00,2773.00,-49086.00,109.00,20723.00,7198.00,-470470.00,65337.00,-470147.00,137837.00,-1781.00,-978.00,1279.00,210.00,72873.00,-10662.00,1609.00,323.00,-2081259.00,1337.00,51887.00,-335553.00,343508.00,-1985.00,67600.00,-24877.00,-9603.00,-471760.00,-1580.00,-18548.00,-2558.00,-2752864.00,-470147.00,-796.00,-27026.00,393572.00,-150.00,1346.00,-176638.00,34043.00,1509156.00,-5655.00,1320840.00,-20380.00,-1569.00,-57815.00,164.00,-858.00,-4786.00,-824.00,0.00,-3182.00,-40468.00,-23747.00,63794.00,15574.00,-59918.00
2014.00,394.20,383.90,459.20,490.70,494.10,481.90,509.70,476.80,458.80,500.50,398.30,496.00,5544.10,10.10,9.70,9.20,9.10,7.80,9.10,9.90,9.20,9.20,8.60,8.40,8.60,,,,,,,,,15306316.00,16566.00,261389.00,-16045.00,-6316.00,-101.00,-22750.00,-2797.00,-1393.00,18051.00,-30228.00,-190.00,-529.00,-40409.00,-1852.00,-6715.00,3428629.00,22372.00,-6302.00,-34392.00,-12849.00,-31416.00,11571.00,1608501.00,-3390883.00,-4999384.00,-2146312.00,-37324.00,-2853072.00,-276.00,-310694.00,,714.00,653255.00,10514.00,1116.00,10836.00,50102.00,-11329.00,803008.00,139401.00,813.00,-884.00,31611.00,-2984.00,-2932.00,-10309.00,94785.00,1446330.00,-8607.00,510.00,3883.00,-49351.00,-25571.00,54876.00,38565.00,-310157.00,-31.00,48532.00,3672517.00,75961.00,238835.00,-2037911.00,7105.00,-50381.00,-237890.00,-51.00,32841.00,-24234.00,-515267.00,-64956.00,-3039.00,-30033.00,-16990.00,-27076.00,-23690.00,3068657.00,-1668.00,179768.00,-20445.00,260843.00,-15027.00,-2708921.00,65520.00,85052.00,-37405.00,60308.00,-1603.00,485.00,-49130.00,119.00,6065.00,8072.00,-480289.00,-471614.00,-480026.00,197600.00,-1794.00,-967.00,1058.00,-225.00,75670.00,-10586.00,901.00,263.00,-1457678.00,1005.00,20842.00,-469522.00,534556.00,-1985.00,55367.00,-21933.00,-9609.00,-418542.00,-1586.00,151572.00,-2524.00,-2708921.00,-480026.00,-799.00,-26591.00,703144.00,-152.00,-21079.00,-92291.00,-65667.00,1505626.00,-4914.00,1250914.00,-20382.00,-1295.00,-62437.00,260.00,-748.00,-4875.00,-785.00,0.00,-3161.00,-56637.00,-30048.00,290874.00,16580.00,-59918.00
2015.00,407.40,432.00,556.50,503.80,519.00,536.30,573.70,527.30,538.40,583.80,508.70,598.10,6285.00,3.40,7.90,12.80,9.90,8.80,9.30,9.80,9.90,10.70,11.40,12.70,13.40,,,,,,,,,15567419.00,12041.00,254218.00,-13317.00,-13308.00,-101.00,-15127.00,-3224.00,-1393.00,17694.00,-29315.00,-190.00,-348.00,-48162.00,-1852.00,-6524.00,3939060.00,13061.00,-6512.00,-589781.00,-13408.00,-32698.00,14166.00,901570.00,-3920933.00,-4822503.00,-2459914.00,-37991.00,-2362589.00,-231.00,-475094.00,,13130.00,628310.00,-19490.00,1477.00,12049.00,34031.00,-11329.00,490844.00,150215.00,3932.00,-866.00,30414.00,-3018.00,-2747.00,-6449.00,80603.00,1454272.00,-8596.00,-2230.00,17051.00,-145917.00,-24359.00,57677.00,30329.00,-221059.00,-31.00,47165.00,3531505.00,134260.00,229653.00,-2172159.00,8648.00,2462.00,6954.00,8.00,30581.00,-25426.00,-877524.00,-64764.00,-3200.00,-10124.00,-16833.00,-22904.00,-23389.00,3241249.00,-1676.00,178133.00,-49612.00,384942.00,-14477.00,-3523806.00,60337.00,49080.00,-31006.00,40958.00,-1603.00,-356.00,-51282.00,317.00,-17178.00,7368.00,34287.00,-160109.00,34532.00,187142.00,-1800.00,-976.00,2637.00,7934.00,77987.00,-10464.00,1027.00,245.00,-827474.00,1663.00,-48918.00,-231779.00,367540.00,-1985.00,32595.00,-18984.00,-9612.00,-349643.00,-5529.00,-217777.00,-2495.00,-3523806.00,34532.00,-583.00,-25230.00,341261.00,-159.00,201562.00,-62377.00,-21937.00,1408399.00,-4156.00,1221849.00,-20380.00,-1295.00,-77421.00,302.00,-630.00,-4761.00,-756.00,0.00,-3137.00,-14819.00,-38355.00,644996.00,16283.00,-59918.00
2016.00,482.00,558.00,623.00,609.30,625.30,614.70,536.10,619.20,607.70,605.90,600.30,678.40,7160.00,18.30,23.90,19.10,19.60,19.80,18.90,14.70,15.10,14.80,13.60,14.00,13.90,2113329.00,707823.00,2588858.00,3092.00,19821.00,1456572.00,111487.00,7000981.00,15827690.00,7395.00,246940.00,-10591.00,7014.00,-101.00,-14196.00,-3477.00,-1392.00,17109.00,-27234.00,-190.00,-374.00,-39266.00,-1852.00,-6311.00,3981138.00,0.00,-6685.00,370860.00,-13569.00,-33902.00,-982.00,-604923.00,-3881250.00,-3276327.00,-2461971.00,-38653.00,-814356.00,107.00,68119.00,,18978.00,23759.00,-75580.00,4113.00,13263.00,49591.00,-11329.00,49192.00,156993.00,7470.00,-852.00,77168.00,-3009.00,-2558.00,-5498.00,97737.00,1769865.00,-8596.00,-2346.00,14833.00,-54315.00,-23081.00,59528.00,26425.00,-98016.00,-31.00,50012.00,4167539.00,118472.00,186788.00,-2290411.00,10109.00,80725.00,79051.00,8.00,28474.00,-1967.00,-379760.00,-65824.00,-3218.00,-8128.00,-16734.00,-22774.00,-22404.00,3458467.00,-1687.00,138455.00,-64002.00,373316.00,-2605.00,-2552785.00,171429.00,97646.00,-24720.00,36498.00,-1603.00,4657.00,-47499.00,344.00,124017.00,5901.00,-1032245.00,-655870.00,-1031994.00,146469.00,-1786.00,-910.00,3682.00,7684.00,79667.00,-10295.00,969.00,251.00,-133823.00,1312.00,21546.00,-74506.00,362637.00,-1988.00,76693.00,-16029.00,-9616.00,-63654.00,-5475.00,-520948.00,-2206.00,-2552785.00,-1031994.00,-103.00,-23826.00,375842.00,-170.00,124444.00,123381.00,-54333.00,-97942.00,-3506.00,1449371.00,-35209.00,-1295.00,-283326.00,275.00,-526.00,-4432.00,-404.00,0.00,-2772.00,-31383.00,-39688.00,-866101.00,17285.00,-59918.00
2017.00,587.60,613.90,739.80,639.90,747.40,723.70,664.20,707.80,672.90,728.30,646.30,720.30,8192.20,21.90,15.50,16.70,13.60,14.90,15.40,16.50,16.20,15.60,16.10,15.30,14.40,2338439.00,326594.00,2663103.00,1338.00,14591.00,2352923.00,33386.00,7730374.00,16087418.00,4019.00,239014.00,-7886.00,-4914.00,-58.00,-13726.00,-3694.00,-1398.00,16395.00,-25061.00,-190.00,-383.00,-48049.00,-1852.00,-6110.00,4299926.00,0.00,-6782.00,50447.00,-13654.00,-34766.00,18044.00,-941646.00,-4107622.00,-3165976.00,-1778968.00,-39282.00,-1387008.00,275.00,-219656.00,,29200.00,7709.00,-9899.00,8316.00,14518.00,70475.00,-11329.00,41956.00,164070.00,10802.00,-830.00,14804.00,-3001.00,-2381.00,-4795.00,78257.00,1739131.00,-8597.00,-2389.00,-6827.00,15016.00,-21841.00,60585.00,21584.00,-78062.00,-34.00,48815.00,3998196.00,5777.00,100092.00,-1574581.00,11059.00,104242.00,36111.00,8.00,26515.00,-1983.00,-577864.00,-62275.00,-3222.00,5244.00,-16628.00,-25452.00,-22717.00,3525765.00,-1046.00,46900.00,-58735.00,350105.00,-5169.00,-2181786.00,282947.00,189497.00,-20576.00,35449.00,-1603.00,1234.00,-50616.00,302.00,38067.00,4465.00,-544157.00,-672697.00,-543898.00,61551.00,-1775.00,-948.00,3542.00,7460.00,80765.00,-10127.00,-50.00,259.00,-293599.00,1425.00,16916.00,-217660.00,-288666.00,-1997.00,44063.00,-13082.00,-9616.00,-207999.00,-5412.00,-667613.00,-2106.00,-2181786.00,-543898.00,1446.00,-22368.00,-252010.00,-155.00,101235.00,92876.00,-50447.00,400375.00,-3090.00,1377630.00,-48561.00,-847.00,-817764.00,281.00,-471.00,-3847.00,-403.00,0.00,-2824.00,-33495.00,-39672.00,-10681.00,20268.00,-59918.00
2018.00,634.60,630.10,754.50,769.90,808.50,801.40,818.30,860.40,746.00,863.50,757.10,843.30,9287.80,8.00,5.30,4.00,8.10,8.10,8.60,10.60,12.00,11.90,12.60,13.00,13.40,3496140.00,42975.00,2858002.00,62.00,7929.00,2344022.00,22.00,8749152.00,16346950.00,2893.00,230577.00,-5174.00,-19374.00,-58.00,-9195.00,-3936.00,-1396.00,15583.00,-23600.00,-190.00,-357.00,-56884.00,-1850.00,30080.00,4325471.00,0.00,-6768.00,-243350.00,-13171.00,-35007.00,31976.00,-1747717.00,-4083590.00,-2335873.00,-1638982.00,-39878.00,-696891.00,272.00,-561563.00,,33647.00,-29981.00,6660.00,6611.00,15615.00,75863.00,-11329.00,33554.00,177470.00,11426.00,-817.00,-12765.00,-2987.00,-2209.00,-3706.00,60604.00,1619076.00,-8596.00,-2386.00,-3816.00,-81384.00,-20739.00,60758.00,18388.00,-81130.00,-39.00,80419.00,4044566.00,-51177.00,29729.00,-1309609.00,11130.00,326831.00,-15371.00,8.00,24688.00,-8736.00,-594290.00,-17320.00,-3223.00,10177.00,-16470.00,-25137.00,-22554.00,3589262.00,-952.00,11662.00,-57865.00,336527.00,-10794.00,-2409118.00,253245.00,74198.00,-19973.00,35726.00,-1603.00,-2741.00,-54158.00,137.00,40844.00,3346.00,-622269.00,-297041.00,-621993.00,61693.00,-1758.00,-862.00,3752.00,7559.00,81492.00,-9956.00,640.00,276.00,513647.00,1403.00,46664.00,-453509.00,-314596.00,-1997.00,9304.00,-10135.00,-9614.00,-335008.00,-5352.00,50634.00,-2023.00,-2409118.00,-621993.00,35502.00,-21013.00,-261813.00,-57.00,-56813.00,60723.00,-33273.00,603333.00,-2963.00,1200796.00,-60066.00,-807.00,-1356759.00,221.00,-458.00,-3080.00,-403.00,0.00,-2739.00,-34137.00,-39699.00,27265.00,18019.00,-59918.00
2019.00,688.10,690.50,826.70,865.20,974.50,882.00,947.80,980.60,892.30,1000.00,819.90,940.80,10508.30,8.40,9.00,9.20,10.10,12.40,12.00,12.60,12.80,13.50,13.80,13.30,13.10,4091349.00,15806.00,2899396.00,22.00,10914.00,2481634.00,4.00,9499125.00,16604026.00,2230.00,221179.00,-5414.00,-21860.00,-58.00,-3243.00,-4186.00,-1395.00,14695.00,-21581.00,-190.00,-338.00,-58095.00,-1852.00,-24678.00,4108433.00,0.00,-6550.00,-472979.00,-12480.00,-34635.00,33559.00,-1760407.00,-3891389.00,-2130982.00,-1487064.00,-40567.00,-643918.00,239.00,-593495.00,,29113.00,-34571.00,-29880.00,5152.00,16132.00,21615.00,-11329.00,28963.00,183953.00,10664.00,-806.00,-17639.00,-3018.00,-1034.00,-2228.00,60824.00,1550648.00,-8596.00,-2336.00,-15787.00,-103989.00,-19733.00,60266.00,25564.00,-70597.00,-107.00,103392.00,4085765.00,-106864.00,12322.00,-1177218.00,10623.00,136558.00,-24066.00,8.00,22977.00,-2974.00,-457552.00,-16013.00,-3139.00,43656.00,-16270.00,-24737.00,-22269.00,3675644.00,-861.00,15493.00,-25453.00,333509.00,-11823.00,-2281362.00,241172.00,-29450.00,-19973.00,40624.00,-1603.00,-2238.00,-55143.00,148.00,48055.00,489.00,-516267.00,2048.00,-515962.00,-63712.00,-1718.00,203.00,3378.00,7427.00,81585.00,-9796.00,540.00,305.00,500572.00,1358.00,-9469.00,-467301.00,-218512.00,-1997.00,3758.00,-7192.00,-9612.00,-388296.00,-5265.00,-19956.00,-1898.00,-2281362.00,-515962.00,-19248.00,-19609.00,-218341.00,-57.00,-64819.00,107203.00,-7812.00,204126.00,-2902.00,1158444.00,-69397.00,-758.00,-976460.00,253.00,-458.00,-4028.00,-403.00,0.00,-2469.00,-33469.00,-39769.00,22728.00,18019.00,-59918.00
2020.00,834.60,808.00,746.80,690.80,836.80,963.30,1078.70,1050.20,1051.30,1133.00,983.40,1163.60,11340.40,21.30,19.20,8.30,0.30,-3.20,-0.90,1.40,2.20,4.00,5.10,6.40,7.90,1476868.00,8.00,899700.00,             -  ,5660.00,646470.00,               -  ,3028706.00,16858333.00,1514.00,211063.00,-2734.00,-297.00,-58.00,-4364.00,-1960.00,-1394.00,0.00,-17853.00,0.00,-150.00,-23142.00,-244.00,802.00,788994.00,0.00,-6199.00,60641.00,-11592.00,-33872.00,9042.00,-292787.00,-689611.00,-396824.00,-694545.00,-24999.00,297721.00,235.00,-34772.00,,15320.00,-156669.00,71539.00,2573.00,16569.00,28021.00,0.00,18092.00,87584.00,0.00,-431.00,11745.00,-1494.00,-478.00,-1775.00,57483.00,871032.00,-4301.00,-1182.00,-4403.00,-4824.00,-10384.00,58816.00,10756.00,306664.00,-68.00,38220.00,2540918.00,-164408.00,-210580.00,-588736.00,5473.00,79456.00,-41937.00,7.00,10695.00,-779.00,57214.00,-7408.00,-1589.00,40535.00,-8230.00,-12369.00,-11924.00,2267432.00,-378.00,-163999.00,-12724.00,340711.00,-1579.00,-302152.00,-1025295.00,86.00,-10090.00,21324.00,-808.00,1292.00,-25214.00,-138.00,-11383.00,243.00,-148862.00,-74415.00,-148716.00,-220115.00,0.00,-313.00,1746.00,7681.00,81066.00,-4897.00,475.00,146.00,270006.00,682.00,9016.00,-113166.00,80824.00,-995.00,35526.00,-3564.00,-4502.00,-150854.00,-3506.00,-55547.00,-948.00,-302152.00,-148716.00,2370.00,-9189.00,-80952.00,-15.00,-15795.00,43465.00,-2173.00,676452.00,-1486.00,675560.00,-39203.00,-379.00,-525142.00,272.00,0.00,-2016.00,-197.00,0.00,-1060.00,-15050.00,-86100.00,30852.00,9015.00,-29955.00
2021.00,906.80,942.90,1285.60,1231.70,1236.70,1362.50,1354.30,1388.60,1299.30,1418.50,1356.60,1512.20,15295.70,8.70,12.60,31.20,41.80,43.10,42.70,39.60,38.50,36.60,35.20,35.40,34.90,,,,,,,,,17109746.00,1516.00,202027.00,-2734.00,-11253.00,-58.00,-4367.00,-1960.00,-1395.00,6486.00,-14806.00,-85.00,-62.00,-29118.00,-244.00,-4316.00,2128855.00,0.00,-5779.00,-537784.00,-10402.00,-32977.00,19870.00,-909051.00,-2014815.00,-1105764.00,-677855.00,-14992.00,-427909.00,517.00,-301970.00,,15320.00,28080.00,-60097.00,622.00,16856.00,28021.00,-5664.00,14374.00,87584.00,0.00,-431.00,-9515.00,-1494.00,-478.00,-1775.00,46165.00,757052.00,-4301.00,-1182.00,-4405.00,-76364.00,-10384.00,57439.00,10604.00,296541.00,-66.00,38220.00,2433502.00,-20664.00,-32353.00,-471395.00,5473.00,68012.00,-80125.00,3.00,10695.00,-2968.00,-647431.00,-7408.00,-1589.00,27295.00,-8230.00,-12369.00,-11748.00,2195799.00,-378.00,-30801.00,-12724.00,320617.00,-6112.00,-925916.00,-153883.00,-15223.00,-10091.00,19321.00,-808.00,-1544.00,-27343.00,41.00,-17071.00,243.00,-444392.00,-31885.00,-444246.00,-51404.00,-792.00,-492.00,1746.00,4568.00,80097.00,-4897.00,212.00,146.00,212187.00,682.00,9016.00,-322002.00,66551.00,-995.00,1133.00,-3564.00,-4503.00,-260604.00,-1997.00,-128598.00,-948.00,-925916.00,-444246.00,2632.00,-9189.00,-69729.00,-15.00,-4865.00,43465.00,831.00,176781.00,-1486.00,561580.00,-39201.00,-379.00,-525116.00,128.00,-224.00,-992.00,-197.00,0.00,-882.00,-15050.00,-101468.00,10934.00,9015.00,-25005.00
